2016-06-04 15:27:09 status half-installed libdebconfclient0:amd64 0.192
2016-06-04 15:27:10 status unpacked libdebconfclient0:amd64 0.192
2016-06-04 15:27:10 status unpacked libdebconfclient0:amd64 0.192
2016-06-04 15:27:10 install coreutils:amd64 <none> 8.23-4
2016-06-04 15:27:10 status half-installed coreutils:amd64 8.23-4
2016-06-04 15:27:11 status unpacked coreutils:amd64 8.23-4
2016-06-04 15:27:12 status unpacked coreutils:amd64 8.23-4
2016-06-04 15:27:12 install dash:amd64 <none> 0.5.7-4+b1
2016-06-04 15:27:12 status half-installed dash:amd64 0.5.7-4+b1
2016-06-04 15:27:14 status unpacked dash:amd64 0.5.7-4+b1
2016-06-04 15:27:14 status unpacked dash:amd64 0.5.7-4+b1
2016-06-04 15:27:14 install libdb5.3:amd64 <none> 5.3.28-9
2016-06-04 15:27:14 status half-installed libdb5.3:amd64 5.3.28-9
2016-06-04 15:27:15 status unpacked libdb5.3:amd64 5.3.28-9
2016-06-04 15:27:15 status unpacked libdb5.3:amd64 5.3.28-9
2016-06-04 15:27:15 upgrade debconf:all 1.5.56 1.5.56
2016-06-04 15:27:15 status half-configured debconf:all 1.5.56
2016-06-04 15:27:15 status unpacked debconf:all 1.5.56
2016-06-04 15:27:15 status half-installed debconf:all 1.5.56
2016-06-04 15:27:17 status half-installed debconf:all 1.5.56
2016-06-04 15:27:17 status unpacked debconf:all 1.5.56
2016-06-04 15:27:17 status unpacked debconf:all 1.5.56
2016-06-04 15:27:17 install debconf-i18n:all <none> 1.5.56
2016-06-04 15:27:17 status half-installed debconf-i18n:all 1.5.56
2016-06-04 15:27:18 status unpacked debconf-i18n:all 1.5.56
2016-06-04 15:27:18 status unpacked debconf-i18n:all 1.5.56
2016-06-04 15:27:18 install debianutils:amd64 <none> 4.4+b1
2016-06-04 15:27:18 status half-installed debianutils:amd64 4.4+b1
2016-06-04 15:27:19 status unpacked debianutils:amd64 4.4+b1
2016-06-04 15:27:19 status unpacked debianutils:amd64 4.4+b1
2016-06-04 15:27:19 install diffutils:amd64 <none> 1:3.3-1+b1
2016-06-04 15:27:19 status half-installed diffutils:amd64 1:3.3-1+b1
2016-06-04 15:27:20 status unpacked diffutils:amd64 1:3.3-1+b1
2016-06-04 15:27:20 status unpacked diffutils:amd64 1:3.3-1+b1
2016-06-04 15:27:20 upgrade dpkg:amd64 1.17.26 1.17.26
2016-06-04 15:27:20 status half-configured dpkg:amd64 1.17.26
2016-06-04 15:27:20 status unpacked dpkg:amd64 1.17.26
2016-06-04 15:27:20 status half-installed dpkg:amd64 1.17.26
2016-06-04 15:27:21 status half-installed dpkg:amd64 1.17.26
2016-06-04 15:27:21 status unpacked dpkg:amd64 1.17.26
2016-06-04 15:27:21 status unpacked dpkg:amd64 1.17.26
2016-06-04 15:27:22 install e2fslibs:amd64 <none> 1.42.12-1.1
2016-06-04 15:27:22 status half-installed e2fslibs:amd64 1.42.12-1.1
2016-06-04 15:27:22 status unpacked e2fslibs:amd64 1.42.12-1.1
2016-06-04 15:27:22 status unpacked e2fslibs:amd64 1.42.12-1.1
2016-06-04 15:27:22 install e2fsprogs:amd64 <none> 1.42.12-1.1
2016-06-04 15:27:22 status half-installed e2fsprogs:amd64 1.42.12-1.1
2016-06-04 15:27:23 status unpacked e2fsprogs:amd64 1.42.12-1.1
2016-06-04 15:27:23 status unpacked e2fsprogs:amd64 1.42.12-1.1
2016-06-04 15:27:23 install libcomerr2:amd64 <none> 1.42.12-1.1
2016-06-04 15:27:23 status half-installed libcomerr2:amd64 1.42.12-1.1
2016-06-04 15:27:23 status unpacked libcomerr2:amd64 1.42.12-1.1
2016-06-04 15:27:23 status unpacked libcomerr2:amd64 1.42.12-1.1
2016-06-04 15:27:24 install libss2:amd64 <none> 1.42.12-1.1
2016-06-04 15:27:24 status half-installed libss2:amd64 1.42.12-1.1
2016-06-04 15:27:24 status unpacked libss2:amd64 1.42.12-1.1
2016-06-04 15:27:24 status unpacked libss2:amd64 1.42.12-1.1
2016-06-04 15:27:24 install findutils:amd64 <none> 4.4.2-9+b1
2016-06-04 15:27:24 status half-installed findutils:amd64 4.4.2-9+b1
2016-06-04 15:27:25 status unpacked findutils:amd64 4.4.2-9+b1
2016-06-04 15:27:25 status unpacked findutils:amd64 4.4.2-9+b1
2016-06-04 15:27:25 install gcc-4.8-base:amd64 <none> 4.8.4-1
2016-06-04 15:27:25 status half-installed gcc-4.8-base:amd64 4.8.4-1
2016-06-04 15:27:25 status unpacked gcc-4.8-base:amd64 4.8.4-1
2016-06-04 15:27:25 status unpacked gcc-4.8-base:amd64 4.8.4-1
2016-06-04 15:27:25 install gcc-4.9-base:amd64 <none> 4.9.2-10
2016-06-04 15:27:25 status half-installed gcc-4.9-base:amd64 4.9.2-10
